scope,term,unit,count,formula,visibility,status,notes
exact fixed-point LMS Learn dimension 577; private feature and label,rho scaling,private_public_multiply,577,r,private M; public R,DERIVED scalar circuit accounting,Can specialize R=Q when rho=1
exact fixed-point LMS Learn dimension 577; private feature and label,integer additions,private_add,1732,(r-1) dot adds +1 rounding +1 error +r update sums +r rounding,private operands,DERIVED scalar circuit accounting,Clamp selection adds/muxes excluded and listed separately
exact fixed-point LMS Learn dimension 577; private feature and label,nearest-ties-up rounding,private_floor_power_two,578,r+1,private dot and update numerators,DERIVED scalar circuit accounting,Secure exact division/floor by public Q; modular inverse is not this operation
exact fixed-point LMS Learn dimension 577; private feature and label,state saturation,private_clamp,577,"r to [-16Q,16Q]",private update,DERIVED scalar circuit accounting,Comparison/selection mechanism unimplemented
exact fixed-point LMS Infer dimension 577; public query feature,score dot,private_public_multiply,577,r,private M; public query P,DERIVED scalar circuit accounting,If query is private this becomes private_private
exact fixed-point LMS Infer dimension 577; public query feature,score sum,private_add,576,r-1,private products,DERIVED scalar circuit accounting,Plus one private sign and authorized recipient release
exact fixed-point LMS Infer dimension 577; public query feature,binary answer,private_sign,1,1,private score,DERIVED scalar circuit accounting,No score or logits may be released by this task interface
exact fixed-point LMS Infer dimension 577; public query feature,state storage in executed int64/float64 readout,plaintext_bytes,4616,8r,private semantic state; plaintext in experiment,DERIVED scalar circuit accounting,Ciphertext size/key material/commitments/proofs absent; this is not encrypted state size
exact fixed-point LMS Learn dimension 65; private feature and label,dot and error-feature update,private_private_multiply,130,2r,private M and P; private error,DERIVED scalar circuit accounting,Chosen eta=1; public rho scaling is separate
exact fixed-point LMS Learn dimension 65; private feature and label,rho scaling,private_public_multiply,65,r,private M; public R,DERIVED scalar circuit accounting,Can specialize R=Q when rho=1
exact fixed-point LMS Learn dimension 65; private feature and label,integer additions,private_add,196,(r-1) dot adds +1 rounding +1 error +r update sums +r rounding,private operands,DERIVED scalar circuit accounting,Clamp selection adds/muxes excluded and listed separately
exact fixed-point LMS Learn dimension 65; private feature and label,nearest-ties-up rounding,private_floor_power_two,66,r+1,private dot and update numerators,DERIVED scalar circuit accounting,Secure exact division/floor by public Q; modular inverse is not this operation
exact fixed-point LMS Learn dimension 65; private feature and label,state saturation,private_clamp,65,"r to [-16Q,16Q]",private update,DERIVED scalar circuit accounting,Comparison/selection mechanism unimplemented
exact fixed-point LMS Infer dimension 65; public query feature,score dot,private_public_multiply,65,r,private M; public query P,DERIVED scalar circuit accounting,If query is private this becomes private_private
exact fixed-point LMS Infer dimension 65; public query feature,score sum,private_add,64,r-1,private products,DERIVED scalar circuit accounting,Plus one private sign and authorized recipient release
exact fixed-point LMS Infer dimension 65; public query feature,binary answer,private_sign,1,1,private score,DERIVED scalar circuit accounting,No score or logits may be released by this task interface
exact fixed-point LMS Infer dimension 65; public query feature,state storage in executed int64/float64 readout,plaintext_bytes,520,8r,private semantic state; plaintext in experiment,DERIVED scalar circuit accounting,Ciphertext size/key material/commitments/proofs absent; this is not encrypted state size
exact fixed-point LMS Learn dimension 6; private feature and label,dot and error-feature update,private_private_multiply,12,2r,private M and P; private error,DERIVED scalar circuit accounting,Chosen eta=1; public rho scaling is separate
exact fixed-point LMS Learn dimension 6; private feature and label,rho scaling,private_public_multiply,6,r,private M; public R,DERIVED scalar circuit accounting,Can specialize R=Q when rho=1
exact fixed-point LMS Learn dimension 6; private feature and label,integer additions,private_add,19,(r-1) dot adds +1 rounding +1 error +r update sums +r rounding,private operands,DERIVED scalar circuit accounting,Clamp selection adds/muxes excluded and listed separately
exact fixed-point LMS Learn dimension 6; private feature and label,nearest-ties-up rounding,private_floor_power_two,7,r+1,private dot and update numerators,DERIVED scalar circuit accounting,Secure exact division/floor by public Q; modular inverse is not this operation
exact fixed-point LMS Learn dimension 6; private feature and label,state saturation,private_clamp,6,"r to [-16Q,16Q]",private update,DERIVED scalar circuit accounting,Comparison/selection mechanism unimplemented
exact fixed-point LMS Infer dimension 6; public query feature,score dot,private_public_multiply,6,r,private M; public query P,DERIVED scalar circuit accounting,If query is private this becomes private_private
exact fixed-point LMS Infer dimension 6; public query feature,score sum,private_add,5,r-1,private products,DERIVED scalar circuit accounting,Plus one private sign and authorized recipient release
exact fixed-point LMS Infer dimension 6; public query feature,binary answer,private_sign,1,1,private score,DERIVED scalar circuit accounting,No score or logits may be released by this task interface
exact fixed-point LMS Infer dimension 6; public query feature,state storage in executed int64/float64 readout,plaintext_bytes,48,8r,private semantic state; plaintext in experiment,DERIVED scalar circuit accounting,Ciphertext size/key material/commitments/proofs absent; this is not encrypted state size
generic 64-item 576-feature kNN; query public,dot products using precomputed private key norms,private_public_multiply,36864,M*r,private stored keys; public query,DERIVED scalar circuit accounting,"Learn must compute each key norm with r private_private squares; generic representation, not precomputed public-domain shortcut"
generic 64-item 576-feature kNN; query public,argmin comparisons,private_compare,63,M-1,private distances,DERIVED scalar circuit accounting,"Selected label and index need oblivious selection, not host-visible index"
executed finite-grid kNN state,64 index and 64 label int64 arrays,plaintext_bytes,1024,64*2*8,indices and labels private semantically,DERIVED scalar circuit accounting,Additional globally cached public-domain distance table: 289^2*8 bytes; secret-index lookup has no protected implementation
executed finite-grid distance table,one method distance matrix,public_bytes,668168,289^2*8,public finite coordinate universe,DERIVED scalar circuit accounting,Two matrices cached for utility evaluator; addresses into them reveal private input IDs if exposed
